rank,algorithm,trial_index,trial_name,summary_path,final_score,design_count,variant_label,compare_aggregate_csv,compare_details_csv,cpuct,mu-discount,search-iterations,seed,sequence-length,episodes,steps,ucb-c
11,alphasyn,2,trial_002__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_002__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_002__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_002__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10/compare/details.csv,0.5,0.9,20,1,10,,,
12,alphasyn,3,trial_003__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_003__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_003__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_003__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10/compare/details.csv,0.5,0.9,20,2,10,,,
13,alphasyn,4,trial_004__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_004__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_004__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_004__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10/compare/details.csv,0.5,0.9,20,3,10,,,
14,alphasyn,5,trial_005__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_005__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_005__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_005__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10/compare/details.csv,0.5,0.9,20,4,10,,,
15,alphasyn,6,trial_006__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_006__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_006__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_006__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10/compare/details.csv,0.5,0.9,20,5,10,,,
16,alphasyn,7,trial_007__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_007__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_007__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_007__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10/compare/details.csv,0.5,0.9,20,6,10,,,
17,alphasyn,8,trial_008__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_008__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_008__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_008__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10/compare/details.csv,0.5,0.9,20,7,10,,,
18,alphasyn,9,trial_009__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_009__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_009__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_009__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10/compare/details.csv,0.5,0.9,20,8,10,,,
19,alphasyn,10,trial_010__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_010__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10/workdir/summary.csv,278.90000000000003,30,"seq=10,iters=20,cpuct=0.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_010__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_010__cpuct=0.5__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10/compare/details.csv,0.5,0.9,20,9,10,,,
20,alphasyn,18,trial_018__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_018__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10/workdir/summary.csv,278.8,30,"seq=10,iters=20,cpuct=1.0,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_018__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_018__cpuct=1.0__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10/compare/details.csv,1.0,0.9,20,7,10,,,
21,alphasyn,21,trial_021__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_021__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10/workdir/summary.csv,278.5,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_021__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_021__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=0__sequence_length=10/compare/details.csv,1.5,0.9,20,0,10,,,
22,alphasyn,23,trial_023__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_023__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10/workdir/summary.csv,278.5,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_023__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_023__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=2__sequence_length=10/compare/details.csv,1.5,0.9,20,2,10,,,
23,alphasyn,24,trial_024__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_024__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10/workdir/summary.csv,278.5,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_024__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_024__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=3__sequence_length=10/compare/details.csv,1.5,0.9,20,3,10,,,
24,alphasyn,26,trial_026__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_026__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10/workdir/summary.csv,278.5,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_026__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_026__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=5__sequence_length=10/compare/details.csv,1.5,0.9,20,5,10,,,
25,alphasyn,27,trial_027__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_027__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10/workdir/summary.csv,278.5,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_027__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_027__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=6__sequence_length=10/compare/details.csv,1.5,0.9,20,6,10,,,
26,alphasyn,28,trial_028__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_028__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10/workdir/summary.csv,278.5,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_028__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_028__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=7__sequence_length=10/compare/details.csv,1.5,0.9,20,7,10,,,
27,alphasyn,29,trial_029__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_029__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10/workdir/summary.csv,278.5,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_029__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_029__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=8__sequence_length=10/compare/details.csv,1.5,0.9,20,8,10,,,
28,alphasyn,30,trial_030__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_030__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10/workdir/summary.csv,278.5,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_030__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_030__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=9__sequence_length=10/compare/details.csv,1.5,0.9,20,9,10,,,
29,alphasyn,25,trial_025__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_025__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10/workdir/summary.csv,278.40000000000003,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_025__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_025__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=4__sequence_length=10/compare/details.csv,1.5,0.9,20,4,10,,,
30,alphasyn,22,trial_022__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_022__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10/workdir/summary.csv,278.3,30,"seq=10,iters=20,cpuct=1.5,mu=0.9,",/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_022__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/alphasyn/trials/trial_022__cpuct=1.5__mu_discount=0.9__search_iterations=20__seed=1__sequence_length=10/compare/details.csv,1.5,0.9,20,1,10,,,
1,baseline_mab,2,trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,286.6,30,"steps=10,iters=20,ucb_c=0.4,seed=1",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_002__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=0.4/compare/details.csv,,,,1,,20,10,0.4
2,baseline_mab,22,trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,286.3,30,"steps=10,iters=20,ucb_c=1.5,seed=1",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_022__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.5/compare/details.csv,,,,1,,20,10,1.5
3,baseline_mab,11,trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,286.0,30,"steps=10,iters=20,ucb_c=1.0,seed=0",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.0/compare/details.csv,,,,0,,20,10,1.0
4,baseline_mab,12,trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,286.0,30,"steps=10,iters=20,ucb_c=1.0,seed=1",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_012__and_weight=0.5__episodes=20__lev_weight=0.2__seed=1__steps=10__ucb_c=1.0/compare/details.csv,,,,1,,20,10,1.0
5,baseline_mab,20,trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,286.0,30,"steps=10,iters=20,ucb_c=1.0,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.0/compare/details.csv,,,,9,,20,10,1.0
6,baseline_mab,17,trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.8,30,"steps=10,iters=20,ucb_c=1.0,seed=6",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.0/compare/details.csv,,,,6,,20,10,1.0
7,baseline_mab,16,trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.2,30,"steps=10,iters=20,ucb_c=1.0,seed=5",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_016__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.0/compare/details.csv,,,,5,,20,10,1.0
